Comment,Description,Designator,Footprint,LibRef,Quantity

"215297-4","","J?","TE_215297-4","215297-4","8"
"DCJ235-05-A-XX-X_REVA","DC Power Jack, Thru-Hole, Horizontal, with Locating Pegs, D2.35mm","J?","GCT_DCJ235-05-A-XX-X_REVA","DCJ235-05-A-XX-X_REVA","1"
"LM3940IT-3.3","","U?","TO254P1054X470X1955-3","LM3940IT-3.3","1"
"ABM8-40.000MHZ-10-1-U-T","Crystal 20MHz Â±20ppm (Tol) Â±30ppm (Stability) 18pF FUND 80Ohm 4-Pin Mini-CSMD T/R","Y?","OSCSC320X250X100N","ABM8-40.000MHZ-10-1-U-T","1"
